5d11cd8209b4dfa968495272,1.12641E+18,shri @gautamgambhirs vision for east delhi. #deshkishaanmodi https://t.co/vpkgnvazmk 
5d11cd8209b4dfa96849529b,1.1259E+18,"is your life better than it was 5 years ago when this man (modi) came to power? and if your personal life is not better does it really matter if the indian air force is bombing its target or not? it\'s your life you\'re voting to improve. vote for us.""  ~ @shashitharoor @incindia https://t.co/gaddcmslit "
5d11cd8309b4dfa968495501,1.12641E+18,@himalayanzen @5forty3 @smritiirani i don't see any reason she will loose  amethi need change and she will deliver. may 23. tk cr bro 
5d11cd8409b4dfa9684955c3,1.12021E+18,pm shri @narendramodi is addressing a public meeting in dindori  maharashtra. #bharatbolenamonamo   https://t.co/uxr7izaqmk 
5d11cd8809b4dfa968495a7e,1.12617E+18,"man asks bjp spokesperson - ""is bjp planning to win elections only on hinduvad &amp; aatankvad? are you even concerned about small traders?""  @rubikaliyaquat to the rescue - ""wait there\'s big news. mamata banerjee said she\'ll slap modi.""  8:35 mins   https://t.co/pxjfuagdxh  1/2 "
5d11cd8809b4dfa968495ab7,1.1264E+18,#indiatodayexclusive #loksabhaelections2019 this election is didi versus people in bengal: pm @narendramodi to @manogyaloiwal watch live at https://t.co/4fqxbvuizl https://t.co/1uwlag1vky 
5d11cd8809b4dfa968495b24,1.1264E+18,"petition questioning rahul gandhi\'s citizenship dismissed by sc.  ""if some company in some form mentions his nationality as british  does he become a british citizen "" the top court bench  headed by chief justice ranjan gogoi  said.  #sabsebadajhootamodi  https://t.co/wmo70nuitz "
5d11cd8c09b4dfa96849627b,1.1264E+18,arun jaitley  was part of 3-member investigation team probing bofors    they found no evidence against #rajivgandhi   2004: delhi hc clean chit (under bjp govt) 2018: modi's appeal dismissed by sc  #sabsebadajhootamodi  #shameonpmmodi  #modilies   https://t.co/6shkg0rdwe 
5d11cd8d09b4dfa9684963d1,1.12641E+18,#oneplus7pro #maharshiday #deshkishaanmodi #blockbustermaharshi #aitheyaasong #hbdsaipallavi #maharanapratap https://t.co/uxyxfzgxne 
5d11cd8d09b4dfa968496440,1.12635E+18,jai shree ram and modi  modi chanting in madan mitra's roadshow  desh ne man bana liya hai ki #abkibaarmodisarkar  #tmchhi https://t.co/eqwb5dssaq 
